time(sec), p_des[0], p_des[1], p_des[2], p_des[3], p_des[4], p_des[5], p_meas[0], p_meas[1], p_meas[2], p_meas[3], p_meas[4], p_meas[5]
0.431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.631, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.761, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.081, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.111, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.121, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.131, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.141, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.151, 300, 0, 0, 0, 0, 0, 393, 0, 0, 0, 0, 0
1.161, 300, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0
1.171, 300, 0, 0, 0, 0, 0, 431, 0, 0, 0, 0, 0
1.182, 300, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0
1.191, 300, 0, 0, 0, 0, 0, 338, 0, 0, 0, 0, 0
1.201, 300, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0
1.211, 300, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0
1.221, 300, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0
1.231, 300, 0, 0, 0, 0, 0, 322, 0, 0, 0, 0, 0
1.241, 300, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0
1.251, 300, 0, 0, 0, 0, 0, 397, 0, 0, 0, 0, 0
1.261, 300, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0
1.271, 300, 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0
1.281, 300, 0, 0, 0, 0, 0, 242, 0, 0, 0, 0, 0
1.291, 300, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0
1.301, 300, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 0
1.311, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
1.321, 300, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0
1.331, 300, 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0
1.341, 300, 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 0
1.351, 300, 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0
1.361, 300, 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0
1.371, 300, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0
1.381, 300, 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0
1.391, 300, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0
1.401, 300, 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0
1.411, 300, 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0
1.421, 300, 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0
1.431, 300, 0, 0, 0, 0, 0, 276, 0, 0, 0, 0, 0
1.441, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
1.451, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
1.461, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
1.471, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
1.481, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
1.491, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
1.501, 300, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0
1.511, 300, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0
1.521, 300, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0
1.531, 300, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0
1.541, 300, 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 0
1.551, 300, 0, 0, 0, 0, 0, 295, 0, 0, 0, 0, 0
1.561, 300, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0
1.572, 300, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0
1.581, 300, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0
1.591, 300, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0
1.601, 300, 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 0
1.611, 300, 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 0
1.621, 300, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0
1.631, 300, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0
1.641, 300, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0
1.651, 300, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0
1.661, 300, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0
1.671, 300, 0, 0, 0, 0, 0, 295, 0, 0, 0, 0, 0
1.681, 300, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0
1.691, 300, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0
1.701, 300, 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0
1.711, 300, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0
1.721, 300, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0
1.731, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
1.741, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
1.751, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
1.761, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
1.771, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
1.781, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
1.791, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
1.801, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
1.811, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
1.821, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
1.831, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
1.841, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
1.852, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
1.861, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
1.871, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
1.881, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
1.891, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
1.901, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
1.911, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
1.921, 300, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0
1.931, 300, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0
1.941, 300, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0
1.951, 300, 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0
1.961, 300, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0
1.971, 300, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0
1.981, 300, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0
1.991, 300, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0
2.001, 300, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0
2.011, 300, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0
2.021, 300, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 0
2.031, 300, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0
2.041, 300, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0
2.051, 300, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0
2.061, 300, 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0
2.071, 300, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0
2.081, 300, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0
2.092, 300, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0
2.101, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
2.111, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
2.121, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
2.131, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
2.141, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
2.151, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
2.161, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.171, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.181, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
2.191, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
2.201, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
2.211, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
2.221, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
2.231, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
2.241, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.251, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
2.261, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
2.271, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
2.281, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
2.291, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
2.301, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
2.311, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
2.321, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
2.331, 300, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0
2.341, 300, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0
2.351, 300, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0
2.361, 300, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0
2.371, 300, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0
2.381, 300, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0
2.391, 300, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0
2.401, 300, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0
2.411, 300, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0
2.421, 300, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0
2.431, 300, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0
2.441, 300, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0
2.451, 300, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0
2.461, 300, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0
2.471, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
2.481, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
2.491, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
2.501, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
2.511, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
2.521, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
2.531, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
2.541, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
2.551, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.561, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.571, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.581, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
2.591, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.601, 300, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0
2.611, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.621, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.631, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.641, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
2.651, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
2.661, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
2.671, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
2.681, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
2.691, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
2.701, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
2.711, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
2.721, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
2.731, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
2.741, 300, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0
2.751, 300, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0
2.761, 300, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0
2.771, 300, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0
2.781, 300, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0
2.791, 300, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0
2.801, 300, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0
2.811, 300, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0
2.821, 300, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0
2.831, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
2.841, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
2.851, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
2.861, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
2.871, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
2.881, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
2.891, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
2.901, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
2.911, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
2.921, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
2.931, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
2.941, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
2.951, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.961, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.971, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.981, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
2.991, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
3.001, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
3.011, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
3.021, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.031, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.041, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
3.051, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
3.061, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
3.071, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
3.081, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
3.091, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
3.101, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
3.111, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
3.121, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
3.131, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
3.141, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
3.151, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
3.161, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
3.171, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
3.181, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
3.191, 300, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0
3.201, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
3.211, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
3.221, 300, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0
3.231, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
3.241, 300, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0
3.251, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
3.261, 300, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0
3.271, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
3.281, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
3.291, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
3.301, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
3.312, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.321, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.331, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.341, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.351, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.361, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
3.371, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
3.381, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.391, 300, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0
3.401, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.411, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.421, 300, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 0
3.431, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
3.441, 300, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0
3.452, 300, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0
